Code,Literal,Code_clean,Literal_basic,in_icd_reference,D_P,Description
Y9373,padel,Y9373,padel,True,D,Deporte de raqueta y mano
E872,cetonemia,E872,cetonemia,True,D,Acidosis
B029,Herpes zoster,B029,Herpes zoster,True,D,Herpes zóster sin complicaciones
Z87440,ITU de repitición,Z87440,ITU de repitición,True,D,Historia personal de infecciones del tracto urinario
8879,ECO TV,8879,ECO TV,False,,
0UT70ZZ,SALPINGUECTOMÍA BILATERAL,0UT70ZZ,SALPINGUECTOMÍA BILATERAL,True,P,"Resección de trompas de falopio, bilateral, abordaje abierto"
59010,Pielonefritis aguda,59010,Pielonefritis aguda,False,,
G40A09,ausencia epileptica,G40A09,ausencia epileptica,True,D,"Síndrome epiléptico con ausencias, no intratable, sin estado de mal epiléptico"
O700,: Desgarro I,O700,: Desgarro I,True,D,Desgarro perineal de primer grado en el parto
Z886,Alergia a nolotil,Z886,Alergia a nolotil,True,D,Estado de alergia a analgésico
B420ZZZ,AngioTc,B420ZZZ,AngioTc,True,P,Tomografía computarizada (scanner tc) de aorta abdominal
BH4CZZZ,ecografía transfontanelar,BH4CZZZ,ecografía transfontanelar,True,P,Ecografía de cabeza y cuello
0HBU0ZZ,Tumorectomia mama izquierda,0HBU0ZZ,Tumorectomia mama izquierda,True,P,"Escisión de mama, izquierda, abordaje abierto"
07TC0ZZ,LINFADENECTOMÍA PELVICA,07TC0ZZ,LINFADENECTOMÍA PELVICA,True,P,"Resección de linfático, pelvis, abordaje abierto"
E7419,intolerancia Lactosa parto,E7419,intolerancia Lactosa parto,True,D,Otros trastornos del metabolismo de la fructosa
80503,CARCINOMA PAPILAR,80503,CARCINOMA PAPILAR,False,,
C3432,ca pulmonar LII,C3432,ca pulmonar LII,True,D,"Neoplasia maligna de lóbulo inferior, bronquio o pulmón izquierdo"
J101,gripe A.,J101,gripe A.,True,D,Gripe debida a otros tipos de virus de la gripe identificados con otras manifestaciones respiratorias
D62,Anemización postoperatoria,D62,Anemización postoperatoria,True,D,Anemia poshemorrágica aguda
N1330,uréterohidronefrosis,N1330,uréterohidronefrosis,True,D,Hidronefrosis no especificadas
Z332,ILE,Z332,ILE,True,D,Contacto para interrupción voluntaria del embarazo
E8782,anastomosis,E8782,anastomosis,False,,
V0310XA,atropello,V0310XA,atropello,True,D,"Peatón a pie lesionado en colisión con coche, camioneta o furgoneta en un accidente de tráfico, contacto inicial"
S060X0A,traumatismo craneoencefálico,S060X0A,traumatismo craneoencefálico,True,D,"Conmoción sin pérdida de conciencia, contacto inicial"
10D07Z8,Nalgas,10D07Z8,Nalgas,True,P,"Extracción de productos de la concepción, otra, abordaje orificio natural o artificial"
S72001A,Fractura periprotesica cadera derecha,S72001A,Fractura periprotesica cadera derecha,True,D,"Fractura de parte no especificada del cuello de fémur derecho, contacto inicial por fractura cerrada"
0HBV0ZZ,Tumorectomia mama bilateral,0HBV0ZZ,Tumorectomia mama bilateral,True,P,"Escisión de mama, bilateral, abordaje abierto"
Q753,macrocefàlia,Q753,macrocefàlia,True,D,Macrocefalia
E785,Hiperlipidemia,E785,Hiperlipidemia,True,D,"Hiperlipidemia, no especificada"
O1405,Preeclampsia puerperal,O1405,Preeclampsia puerperal,True,D,"Preeclampsia leve a moderada, que complica el puerperio"
797,fragil,797,fragil,False,,
2189,miomas uterinos,2189,miomas uterinos,False,,
I501,hta ice,I501,hta ice,True,D,"Insuficiencia ventricular izquierda, no especificada"
64201,HTA parto,64201,HTA parto,False,,
0VNS0ZZ,Nesbitt,0VNS0ZZ,Nesbitt,True,P,"Liberación de pene, abordaje abierto"
E063,Tiroiditis autoinmune,E063,Tiroiditis autoinmune,True,D,Tiroiditis autoinmune
311,Sindrome depresivo,311,Sindrome depresivo,False,,
N3289,MICROVEJIGA,N3289,MICROVEJIGA,True,D,Otros trastornos especificados de vejiga
Z3A33,33 semanas,Z3A33,33 semanas,True,D,33 semanas de gestación
O4202,rotura prematura de membranas 1,O4202,rotura prematura de membranas 1,True,D,"Rotura prematura de membranas a término, inicio del trabajo de parto en las primeras 24 horas de la rotura"
K220,Fumadora part,K220,Fumadora part,True,D,Acalasia de cardias
I731,Buerger,I731,Buerger,True,D,Tromboangeítis obliterante [enfermedad de Buerger]
Z3A36,36+4 semanas,Z3A36,36+4 semanas,True,D,36 semanas de gestación
2721,hipertrigliciridemia,2721,hipertrigliciridemia,False,,
N201,Càlcul ureteral,N201,Càlcul ureteral,True,D,Cálculo del uréter
Z3A40,40 .+2 semanas,Z3A40,40 .+2 semanas,True,D,40 semanas de gestación
F1410,Fumadora part,F1410,Fumadora part,True,D,"Abuso de cocaína, sin complicaciones"
Z91040,ALERGICA AL LÁTEX,Z91040,ALERGICA AL LÁTEX,True,D,Estado de alergia al látex
9925,quimioterapico,9925,quimioterapico,False,,
Z90710,histerectomia,Z90710,histerectomia,True,D,"Ausencia adquirida de ambos, de cuello uterino y de útero"
V9103,BC / BA,V9103,BC / BA,True,D,Quemadura debida a fuego en otra embarcación motorizada
F0390,Demencia,F0390,Demencia,True,D,"Demencia no especificada, gravedad no especificada, sin alteración del comportamiento, alteración psicótica, alteración del estado de ánimo ni ansiedad"
M479,espondilosis,M479,espondilosis,True,D,"Espondilosis, no especificada"
D251,LEIOMIOMA UTERINO INTRAMURAL,D251,LEIOMIOMA UTERINO INTRAMURAL,True,D,Leiomioma intramural de útero
E063,Hashimoto parto,E063,Hashimoto parto,True,D,Tiroiditis autoinmune
Z6841,Hipotiroidismo parto,Z6841,Hipotiroidismo parto,True,D,"Índice de masa corporal [IMC] 40.0-44.9, adulto"
BU46ZZZ,ECOGRAFÍA VAGINAL,BU46ZZZ,ECOGRAFÍA VAGINAL,True,P,Ecografía de útero
1811,Otoscopia,1811,Otoscopia,False,,
G9741,hipotiroidismo part,G9741,hipotiroidismo part,True,D,Punción o desgarro accidental de duramadre durante un procedimiento
66401,Desgarro I grado,66401,Desgarro I grado,False,,
Z3A41,41+0 semanas,Z3A41,41+0 semanas,True,D,41 semanas de gestación
O9942,cardiologia part,O9942,cardiologia part,True,D,Enfermedades del aparato circulatorio que complican el parto
O26833,Fumadora part,O26833,Fumadora part,True,D,"Enfermedad renal relacionada con el embarazo, tercer trimestre"
BW40ZZZ,ECOabd,BW40ZZZ,ECOabd,True,P,Ecografía de abdomen
P034,cesarea rn,P034,cesarea rn,True,D,Recién nacido afectado por parto por cesárea
Z886,Alérgica AAS,Z886,Alérgica AAS,True,D,Estado de alergia a analgésico
M793,paniculitis,M793,paniculitis,True,D,"Paniculitis, no especificada"
0UQJXZZ,sutura clitoris,0UQJXZZ,sutura clitoris,True,P,"Reparación de clítoris, abordaje externo"
Z87891,ex -fumadora,Z87891,ex -fumadora,True,D,Historia personal de dependencia a nicotina
30393,Ex hábito enólico,30393,Ex hábito enólico,False,,
0UB90ZZ,MIOMECTOMÍA,0UB90ZZ,MIOMECTOMÍA,True,P,"Escisión de útero, abordaje abierto"
O9842,hepatitis B part,O9842,hepatitis B part,True,D,Hepatitis viral que complica el parto
Z6740,O positiva,Z6740,O positiva,True,D,"Grupo sanguíneo O, Rh positivo"
64931,trombocitopenia part,64931,trombocitopenia part,False,,
Z886,Alergia AAS,Z886,Alergia AAS,True,D,Estado de alergia a analgésico
Z6835,hipotiroidismo part,Z6835,hipotiroidismo part,True,D,"Índice de masa corporal [IMC] 35.0-35.9, adulto"
10D17ZZ,LEGRADO PUERPERAL,10D17ZZ,LEGRADO PUERPERAL,True,P,"Extracción de productos de la concepción, retenidos, abordaje orificio natural o artificial"
04189,Gardnerella vaginalis,04189,Gardnerella vaginalis,False,,
V1255,TEP en 2013,V1255,TEP en 2013,False,,
I10,hipertension,I10,hipertension,True,D,Hipertensión esencial (primaria)
V2651,Ligadura tubárica,V2651,Ligadura tubárica,True,D,Pasajero de bicicleta eléctrica (asistida) lesionado por colisión con otro vehículo no motorizado en un accidente de tráfico
I350,estenosis aórtica,I350,estenosis aórtica,True,D,Estenosis (de la válvula) aórtica no reumática
Z603,Barrera idiomática,Z603,Barrera idiomática,True,D,Dificultades por aculturación
O701,esguinç grau 2,O701,esguinç grau 2,True,D,Desgarro perineal de segundo grado en el parto
5070,broncoaspiración,5070,broncoaspiración,False,,
2851,anemia postparto,2851,anemia postparto,False,,
I259,Cardiopatia Isquemica,I259,Cardiopatia Isquemica,True,D,"Enfermedad isquémica crónica cardiaca, no especificada"
P011,Amniorrexis rn,P011,Amniorrexis rn,True,D,Recién nacido afectado por rotura prematura de membranas
08RJ3JZ,Cataracta od,08RJ3JZ,Cataracta od,True,P,"Sustitución de cristalino, derecho, con sustituto sintético, abordaje percutáneo"
E890,Hipotiroidismo postquirúrgico,E890,Hipotiroidismo postquirúrgico,True,D,Hipotiroidismo posprocedimiento
J00,J00,J00,J00,True,D,Nasofaringitis aguda [resfriado común]
2810,Anemia perniciosa,2810,Anemia perniciosa,False,,
G3183,Demencia por cuerpos de Lewy,G3183,Demencia por cuerpos de Lewy,True,D,Trastorno neurocognitivo por cuerpos de Lewy
1985,metástasis óseas,1985,metástasis óseas,False,,
3E033VJ,INDUCCION,3E033VJ,INDUCCION,True,P,"Introducción en vena periférica de hormona, otra hormona, abordaje percutáneo"
3E0234Z,anti- D,3E0234Z,anti- D,True,P,"Introducción en músculo de suero, toxoide y vacuna, abordaje percutáneo"
Z6721,: B Rh negativo,Z6721,: B Rh negativo,True,D,"Grupo sanguíneo B, Rh negativo"
9911,gammaglobulina anti-D,9911,gammaglobulina anti-D,False,,
V144,Alergias anestésico,V144,Alergias anestésico,True,D,Conductor de vehículo a pedales lesionado en colisión con vehículo de transporte pesado o autobús en un accidente de tráfico
O9852,Rúbeola NO inmune,O9852,Rúbeola NO inmune,True,D,Otras enfermedades virales que complican el parto
10S07ZZ,kjelland,10S07ZZ,kjelland,True,P,"Reposición de productos de la concepción, abordaje orificio natural o artificial"
0DBU0ZX,biopsia epiplón,0DBU0ZX,biopsia epiplón,True,P,"Escisión de epiplón, diagnóstico, abordaje abierto"
U071,COVID 19,U071,COVID 19,True,D,COVID-19
B084,boca-mano-pie,B084,boca-mano-pie,True,D,Estomatitis vesicular por enterovirus con exantema
Z6740,Grupo: 0 Positivo,Z6740,Grupo: 0 Positivo,True,D,"Grupo sanguíneo O, Rh positivo"
4730,sinusitis maxilar,4730,sinusitis maxilar,False,,
O925,No desea lactancia materna,O925,No desea lactancia materna,True,D,Lactancia suprimida
2219,cirugía endoscópica nasosinusal 2,2219,cirugía endoscópica nasosinusal 2,False,,
R2689,dificultad marcha,R2689,dificultad marcha,True,D,Otras alteraciones de la marcha y de la movilidad
496,EPOC,496,EPOC,False,,
R55,episodio vaso-vagal,R55,episodio vaso-vagal,True,D,Síncope y colapso
XW033E5,Remdesivir,XW033E5,Remdesivir,True,P,"Introducción en vena periférica de remdesivir anti-infeccioso, abordaje percutáneo, nueva tecnología grupo 5"
D649,anemia,D649,anemia,True,D,"Anemia, no especificada"
V603,vive solo,V603,vive solo,True,D,Ocupante no especificado de vehículo de transporte pesado lesionado en colisión con peatón o animal en un accidente no de tráfico
0UT24ZZ,DOBLE ANEXECTOMÍA LAPAROSCÓPICA,0UT24ZZ,DOBLE ANEXECTOMÍA LAPAROSCÓPICA,True,P,"Resección de ovarios, bilateral, abordaje endoscópico percutáneo"
R7982,PCR elevada,R7982,PCR elevada,True,D,Elevación de proteína C-reactiva (PCR)
N390,N39.0,N390,N39.0,True,D,"Infección de tracto urinario, localización no especificada"
09TL8ZZ,cirugia DE CORNETES,09TL8ZZ,cirugia DE CORNETES,True,P,"Resección de cornete nasal, abordaje orificio natural o artificial, endoscópico"
D696,Trombocitopenia parto,D696,Trombocitopenia parto,True,D,Trombocitopenia no especificada
0UT74ZZ,SALPINGUECTOMÍA BILATERAL LAPAROSCOPIA,0UT74ZZ,SALPINGUECTOMÍA BILATERAL LAPAROSCOPIA,True,P,"Resección de trompas de falopio, bilateral, abordaje endoscópico percutáneo"
F17210,TABAC,F17210,TABAC,True,D,"Dependencia de nicotina, cigarrillos, sin complicaciones"
3383,dolor cronico neoplasia,3383,dolor cronico neoplasia,False,,
V427,trasplante hepático,V427,trasplante hepático,True,D,Persona en el exterior de coche lesionada en colisión con vehículo motorizado de dos o tres ruedas en un accidente de tráfico
Z8672,Historia de Tromboflebitis,Z8672,Historia de Tromboflebitis,True,D,Historia personal de tromboflebitis
G8250,Tetraparesia,G8250,Tetraparesia,True,D,"Tetraplejia, no especificada"
672,Conización,672,Conización,False,,
0YU70JZ,hernioplastia crural derecha malla,0YU70JZ,hernioplastia crural derecha malla,True,P,"Suplemento en región femoral, derecha, con sustituto sintético, abordaje abierto"
F17210,FUMADORA part,F17210,FUMADORA part,True,D,"Dependencia de nicotina, cigarrillos, sin complicaciones"
M159,Poliartrosis,M159,Poliartrosis,True,D,Poliartrosis no especificada
V1368,pectus excavatum corregido,V1368,pectus excavatum corregido,False,,
07T60ZZ,LINFADENECTOMÍA AXILAR IZQUIERDA,07T60ZZ,LINFADENECTOMÍA AXILAR IZQUIERDA,True,P,"Resección de linfático, axilar izquierdo, abordaje abierto"
3004,ansioso depresivo,3004,ansioso depresivo,False,,
D252,miomas subseroso parto,D252,miomas subseroso parto,True,D,Leiomioma subseroso de útero
0W363ZZ,hemostasia,0W363ZZ,hemostasia,True,P,"Control en cuello, abordaje percutáneo"
O00101,gestación ectópica tubárica derecha,O00101,gestación ectópica tubárica derecha,True,D,Embarazo tubárico derecho sin embarazo intrauterino
0UL74ZZ,ltb lap,0UL74ZZ,ltb lap,True,P,"Oclusión de trompas de falopio, bilateral, abordaje endoscópico percutáneo"
Z96612,protesis hombro bilateral,Z96612,protesis hombro bilateral,True,D,Presencia de articulación de hombro izquierdo artificial
O700,Desgarro I +,O700,Desgarro I +,True,D,Desgarro perineal de primer grado en el parto
O3663X0,FGEG part,O3663X0,FGEG part,True,D,"Atención materna por crecimiento fetal excesivo, tercer trimestre, no aplicable o no especificado"
BT4JZZZ,ECOGRAFIA RENO-VESICAL,BT4JZZZ,ECOGRAFIA RENO-VESICAL,True,P,Ecografía de riñones y vejiga
3323,broncoscopia,3323,broncoscopia,False,,
2724,Dislipidemia,2724,Dislipidemia,False,,
7569,sutura desgarro 1,7569,sutura desgarro 1,False,,
2851,Hematíes,2851,Hematíes,False,,
C541,ADENOCARCINOMA DE ENDOMETRIO,C541,ADENOCARCINOMA DE ENDOMETRIO,True,D,Neoplasia maligna de endometrio
6201,CUERPO LUTEO HEMORRAGICO,6201,CUERPO LUTEO HEMORRAGICO,False,,
E119,DIABETIS,E119,DIABETIS,True,D,Diabetes mellitus tipo 2 sin complicaciones
38010,otitis externa,38010,otitis externa,False,,
D709,neutropenia,D709,neutropenia,True,D,"Neutropenia, no especificada"
O365931,rciu 1,O365931,rciu 1,True,D,"Atención materna por otro tipo de crecimiento fetal insuficiente, conocido o sospechado, tercer trimestre, feto 1"
B236ZZZ,RMN cardíaca,B236ZZZ,RMN cardíaca,True,P,"Imagen por resonancia magnética (rm) de corazón, lados derecho e izquierdo"
Z8611,Historia de tuberculosis pulmonar,Z8611,Historia de tuberculosis pulmonar,True,D,Historia personal de tuberculosis
N10,PNa 2t,N10,PNa 2t,True,D,Pielonefritis aguda
5249,DEFORMIDAD DENTOFACIAL,5249,DEFORMIDAD DENTOFACIAL,False,,
O9912,Hepatitis B parto,O9912,Hepatitis B parto,True,D,"Otras enfermedades de la sangre, órganos hematopoyéticos y ciertos trastornos que afectan el mecanismo inmunitario que complican el parto"
F429,TOC,F429,TOC,True,D,"Trastorno obsesivo-compulsivo, no especificado"
BU4CZZZ,ECO TV: Útero,BU4CZZZ,ECO TV: Útero,True,P,Ecografía de útero y ovarios
E0590,Hipertiroidismo parto,E0590,Hipertiroidismo parto,True,D,"Tirotoxicosis, no especificada sin crisis tirotóxica ni tormenta tiroidea"
3492,talcaje,3492,talcaje,False,,
BW24ZZZ,TC toraco abdominal,BW24ZZZ,TC toraco abdominal,True,P,Tomografía computarizada (scanner tc) de tórax y abdomen
2189,miomatoso,2189,miomatoso,False,,
B020ZZZ,TC Cerebral,B020ZZZ,TC Cerebral,True,P,Tomografía computarizada (scanner tc) de cerebro
BQ0KZZZ,radiografia calcaneo izquierdo,BQ0KZZZ,radiografia calcaneo izquierdo,True,P,"Radiografía simple de calcáneo, izquierdo"
O9912,Trombofilia parto,O9912,Trombofilia parto,True,D,"Otras enfermedades de la sangre, órganos hematopoyéticos y ciertos trastornos que afectan el mecanismo inmunitario que complican el parto"
M1611,COXARTROSIS DERECHA,M1611,COXARTROSIS DERECHA,True,D,"Artrosis primaria unilateral, cadera derecha"
0UTC4ZZ,Histerectomia abdominal total lap,0UTC4ZZ,Histerectomia abdominal total lap,True,P,"Resección de cérvix, abordaje endoscópico percutáneo"
3E03329,antbioterapia,3E03329,antbioterapia,True,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo"
Z87891,ex fumadora,Z87891,ex fumadora,True,D,Historia personal de dependencia a nicotina
O7022,desgarro IIIB,O7022,desgarro IIIB,True,D,"Desgarro perineal de tercer grado en el parto, IIIb"
C7800,pulmonar,C7800,pulmonar,True,D,Neoplasia maligna secundaria de pulmón no especificado
M5440,Lumbalgias con ciatalgia,M5440,Lumbalgias con ciatalgia,True,D,"Lumbago con ciática, lado no especificado"
V140,Alergica a PENICILINA,V140,Alergica a PENICILINA,True,D,Conductor de vehículo a pedales lesionado en colisión con vehículo de transporte pesado o autobús en un accidente no de tráfico
1748,uce,1748,uce,False,,
O99214,Sobrepeso part,O99214,Sobrepeso part,True,D,Obesidad que complica el parto
966,nutrición enteral,966,nutrición enteral,False,,
R456,R45.6,R456,R45.6,True,D,Comportamiento violento
N2581,Hiperparatiroidismo secundario a ERC,N2581,Hiperparatiroidismo secundario a ERC,True,D,Hiperparatiroidismo secundario de origen renal
0DQR0ZZ,Desgarro IIIb,0DQR0ZZ,Desgarro IIIb,True,P,"Reparación de esfínter anal, abordaje abierto"
5921,Litiasis ureteral,5921,Litiasis ureteral,False,,
Z431,cierre de gastrostomía,Z431,cierre de gastrostomía,True,D,Contacto para cuidados de gastrostomía
N390,urocultivo,N390,urocultivo,True,D,"Infección de tracto urinario, localización no especificada"
0KQM0ZZ,desgarro grado 2º,0KQM0ZZ,desgarro grado 2º,True,P,"Reparación de músculo perineo, abordaje abierto"
9921,amoxicil,9921,amoxicil,False,,
BW20ZZZ,Tc abdomen,BW20ZZZ,Tc abdomen,True,P,Tomografía computarizada (scanner tc) de abdomen
O99354,Epilpesia part,O99354,Epilpesia part,True,D,Enfermedades del sistema nervioso que complican el parto
H81399,Vertigo Periferico,H81399,Vertigo Periferico,True,D,"Otros tipos de vértigo periférico, oído no especificado"
08RJ3JZ,FACO + LIO en saco OD,08RJ3JZ,FACO + LIO en saco OD,True,P,"Sustitución de cristalino, derecho, con sustituto sintético, abordaje percutáneo"
73399,osteopenia,73399,osteopenia,False,,
3E03329,antibioterapia intravenosa,3E03329,antibioterapia intravenosa,True,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo"
4A02X4Z,Electrocardiograma,4A02X4Z,Electrocardiograma,True,P,"Medición de actividad eléctrica, cardiaco, abordaje externo"
S42202A,fractura de humero proximal izquierdo,S42202A,fractura de humero proximal izquierdo,True,D,"Fractura no especificada de extremo superior de húmero izquierdo, contacto inicial por fractura cerrada"
0HTU0ZZ,mastectomia izquierda,0HTU0ZZ,mastectomia izquierda,True,P,"Resección de mama, izquierda, abordaje abierto"
K219,ERGE,K219,ERGE,True,D,Enfermedad por reflujo gastroesofágico sin esofagitis
O1404,Preeclamsia leve,O1404,Preeclamsia leve,True,D,"Preeclampsia leve a moderada, que complica el parto"
K5900,estreñido,K5900,estreñido,True,D,"Estreñimiento, no especificado"
E6601,obesidad morbida part,E6601,obesidad morbida part,True,D,Obesidad mórbida (severa) por exceso de calorías
1820,Neoplasia endometrio,1820,Neoplasia endometrio,False,,
Z87442,V13.01,Z87442,V13.01,True,D,Historia personal de cálculos urinarios
O9852,covid PARTO,O9852,covid PARTO,True,D,Otras enfermedades virales que complican el parto
M23222,rotura de cuerno posterior de menisco interno izquierdo,M23222,rotura de cuerno posterior de menisco interno izquierdo,True,D,"Trastorno de cuerno posterior de menisco interno debido a desgarro o lesión antiguos, rodilla izquierda"
O99324,Cannabis parto,O99324,Cannabis parto,True,D,Consumo de drogas que complica el parto
C50911,Carcinoma mama derecha,C50911,Carcinoma mama derecha,True,D,Neoplasia maligna de localización no especificada de mama femenina derecha
Z8781,Historia de frctura,Z8781,Historia de frctura,True,D,Historia personal de fractura (consolidada) traumática
H532,diplopia,H532,diplopia,True,D,Diplopía
V103,ha Cáncer de mama,V103,ha Cáncer de mama,True,D,Persona que sube o baja de un vehículo a pedales lesionada en colisión con peatón o animal
07054,Infección por VHC,07054,Infección por VHC,False,,
D649,HTA irc 6,D649,HTA irc 6,True,D,"Anemia, no especificada"
Z6841,obesidad part,Z6841,obesidad part,True,D,"Índice de masa corporal [IMC] 40.0-44.9, adulto"
E8351,Hipotiroidismo qx parto,E8351,Hipotiroidismo qx parto,True,D,Hipocalcemia
O7021,desgarro grado IIIA,O7021,desgarro grado IIIA,True,D,"Desgarro perineal de tercer grado en el parto, IIIa"
B181,hepatitis B,B181,hepatitis B,True,D,"Hepatitis vírica crónica tipo B, sin agente delta"
I351,Insuficiència aòrtica,I351,Insuficiència aòrtica,True,D,Insuficiencia (de la válvula) aórtica no reumática
E119,DMII,E119,DMII,True,D,Diabetes mellitus tipo 2 sin complicaciones
K430,K43.0,K430,K43.0,True,D,"Hernia incisional con obstrucción, sin gangrena"
0JQC0ZZ,Cistocele,0JQC0ZZ,Cistocele,True,P,"Reparación de tejido subcutáneo y fascia, región pélvica, abordaje abierto"
9308,EMG,9308,EMG,False,,
D509,Anemia Ferropénica parto,D509,Anemia Ferropénica parto,True,D,"Anemia ferropénica, no especificada"
Q5128,utero septo,Q5128,utero septo,True,D,Otra duplicación del útero y las no especificadas
9917,insulina,9917,insulina,False,,
4241,estenosis aórtica,4241,estenosis aórtica,False,,
J209,Bronquitis aguda,J209,Bronquitis aguda,True,D,"Bronquitis aguda, no especificada"
M3500,Sindorme de sjogren,M3500,Sindorme de sjogren,True,D,"Síndrome de Sjögren, no especificado"
O3403,útero bicorne part,O3403,útero bicorne part,True,D,"Atención materna por malformación congénita del útero no especificada, tercer trimestre"
8744,Rx de tórax,8744,Rx de tórax,False,,
2763,alcalosis respiratoria,2763,alcalosis respiratoria,False,,
F068,retraso cognitivo,F068,retraso cognitivo,True,D,Otros trastornos mentales especificados debidos a afecciones fisiológicas conocidas
3E03329,fosfomicina,3E03329,fosfomicina,True,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo"
H5200,hipermetropía,H5200,hipermetropía,True,D,"Hipermetropía, ojo no especificado"
Z20822,COVID) negativos,Z20822,COVID) negativos,True,D,Contacto y (sospecha de) exposición a COVID-19
K862,quiste pancreas,K862,quiste pancreas,True,D,Quiste de páncreas
6264,ataxia menstrual,6264,ataxia menstrual,False,,
5601,Ileo paralítico,5601,Ileo paralítico,False,,
Q5522,Testes en ascensor,Q5522,Testes en ascensor,True,D,Testículo retráctil
0UQJXZZ,Desgarro clitoris,0UQJXZZ,Desgarro clitoris,True,P,"Reparación de clítoris, abordaje externo"
Z20822,Covid: negativo,Z20822,Covid: negativo,True,D,Contacto y (sospecha de) exposición a COVID-19
B348,parainfluenzae,B348,parainfluenzae,True,D,"Otras infecciones virales, de localización no especificada"
27949,efermedad autoinmune,27949,efermedad autoinmune,False,,
D682,Déficit de factor VII,D682,Déficit de factor VII,True,D,Déficits hereditarios de otros factores de la coagulación
H209,uveítis anterior,H209,uveítis anterior,True,D,Iridociclitis no especificada
3332,mioclonías,3332,mioclonías,False,,
O99282,hipotiroidismo 2t,O99282,hipotiroidismo 2t,True,D,"Enfermedades endocrinas, nutricionales y metabólicas que complican el embarazo, segundo trimestre"
C541,Adenocarcinoma endometrio,C541,Adenocarcinoma endometrio,True,D,Neoplasia maligna de endometrio
V8401,BRCA 1,V8401,BRCA 1,False,,
Z6730,Grupo sanguíneo: AB+,Z6730,Grupo sanguíneo: AB+,True,D,"Grupo sanguíneo AB, Rh positivo"
O30043,bicorial/biamniótica,O30043,bicorial/biamniótica,True,D,"Embarazo gemelar dicoriónico/ diamniótico, tercer trimestre"
0HQ9XZZ,Desagarro 1,0HQ9XZZ,Desagarro 1,True,P,"Reparación de piel, perineo, abordaje externo"
E213,Hiperparatiroidismo,E213,Hiperparatiroidismo,True,D,"Hiperparatiroidismo, no especificado"
R55,sícope vagal,R55,sícope vagal,True,D,Síncope y colapso
L409,PSORIASIS,L409,PSORIASIS,True,D,"Psoriasis, no especificada"
0PSJ04Z,rafi radio izquierdo,0PSJ04Z,rafi radio izquierdo,True,P,"Reposición de radio, izquierdo con dispositivo de fijación interna, abordaje abierto"
E201,PSEUDOHIPOPARATIROIDISMO,E201,PSEUDOHIPOPARATIROIDISMO,True,D,Seudohipoparatiroidismo
3E03329,amoxicilna,3E03329,amoxicilna,True,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo"
81342,Fractura radio distal izquierdo,81342,Fractura radio distal izquierdo,False,,
V137,exprematuro,V137,exprematuro,False,,
BH4CZZZ,ecografía cerebral,BH4CZZZ,ecografía cerebral,True,P,Ecografía de cabeza y cuello
3E1M38Z,LAVADO pERITONEO,3E1M38Z,LAVADO pERITONEO,True,P,"Irrigación de cavidad peritoneal, con sustancia de irrigación, abordaje percutáneo"
O9852,Covid parto,O9852,Covid parto,True,D,Otras enfermedades virales que complican el parto
0689,paratiroidectomía superior izquierda,0689,paratiroidectomía superior izquierda,False,,
D680,Von Willebrand parto,D680,Von Willebrand parto,True,D,Enfermedad de von Willebrand
M25561,gonalgia bilateral,M25561,gonalgia bilateral,True,D,Dolor en rodilla derecha
5849,Fracaso renal agudo,5849,Fracaso renal agudo,False,,
E282,Hipotiroidismo part,E282,Hipotiroidismo part,True,D,Síndrome de ovario poliquístico
Z843,Consanguinitat,Z843,Consanguinitat,True,D,Historia familiar de consanguinidad
D649,Anemia crónica,D649,Anemia crónica,True,D,"Anemia, no especificada"
M75101,ROTURA MANGUITO HOMBRO DERECHO,M75101,ROTURA MANGUITO HOMBRO DERECHO,True,D,"Desgarro o rotura inespecíficos del manguito de los rotadores, hombro derecho, no especificados como traumáticos"
64811,Hipotoroidismo parto,64811,Hipotoroidismo parto,False,,
Z9884,Cirugia bariátrica,Z9884,Cirugia bariátrica,True,D,Estado de cirugía bariátrica
2410,Nodulo tiroideo izquierdo,2410,Nodulo tiroideo izquierdo,False,,
57400,Colecistitis aguda litiasica,57400,Colecistitis aguda litiasica,False,,
Q632,Ectopia renal izquierda,Q632,Ectopia renal izquierda,True,D,Riñón ectópico
Z96642,PTC izqda,Z96642,PTC izqda,True,D,Presencia de articulación de cadera izquierda artificial
O99344,Depresión parto,O99344,Depresión parto,True,D,Otros trastornos mentales que complican el parto
Z6711,a negatiu,Z6711,a negatiu,True,D,"Grupo sanguíneo A, Rh negativo"
Z6740,GSRh. O positivo,Z6740,GSRh. O positivo,True,D,"Grupo sanguíneo O, Rh positivo"
02HV33Z,vía central,02HV33Z,vía central,True,P,"Inserción en vena cava superior, de dispositivo de infusión, abordaje percutáneo"
3E0F7GC,nebulizador,3E0F7GC,nebulizador,True,P,"Introducción en tracto respiratorio de otra sustancia terapéutica, otra sustancia, abordaje orificio natural o artificial"
Y92410,calle,Y92410,calle,True,D,Calle y carretera no especificadas como lugar del acontecimiento de la causa externa
M170,gonartrosis bilateral,M170,gonartrosis bilateral,True,D,"Artrosis primaria de rodilla, bilateral"
